Email;Nome;Regimes Especiais;Código da UC;Matricula
a200000@alunos.uminho.pt;João Mendes;;J305N2;1
a200001@alunos.uminho.pt;Ana Soares;;J304N3;3
a200002@alunos.uminho.pt;Pedro Silva;TE;J305N2;3
a200003@alunos.uminho.pt;Carla Costa;;J305N2;3
a200004@alunos.uminho.pt;Tiago Martins;;J304N3;3
a200005@alunos.uminho.pt;Mariana Lopes;AUM;J305N2;5
a200006@alunos.uminho.pt;Rui Fernandes;;J304N3;1
a200007@alunos.uminho.pt;Beatriz Figueiredo;;J305N2;4
a200008@alunos.uminho.pt;Carlos Alves;;J305N2;5
a200009@alunos.uminho.pt;Sara Marques;;J304N3;1
a200010@alunos.uminho.pt;Paulo Ribeiro;DLG;J305N2;4
a200011@alunos.uminho.pt;Clara Oliveira;;J305N2;3
a200012@alunos.uminho.pt;Luis Gomes;;J305N2;3
a200013@alunos.uminho.pt;Joana Santos;;J304N3;2
a200014@alunos.uminho.pt;Bruno Ferreira;AUM;J305N2;5
a200015@alunos.uminho.pt;Inês Araújo;;J305N2;4
a200016@alunos.uminho.pt;Victor Lima;;J304N3;4
a200017@alunos.uminho.pt;Raquel Nunes;;J305N2;3
a200018@alunos.uminho.pt;John Smith;EINT;J305N2;2
a200019@alunos.uminho.pt;Emily Johnson;;J305N2;2
a200020@alunos.uminho.pt;James Miller;EINT;J305N2;2
a200021@alunos.uminho.pt;Daniel Costa;;J304N3;1
a200022@alunos.uminho.pt;Michael Brown;EINT;J305N2;1
a200023@alunos.uminho.pt;Hugo Fernandes;;J305N2;1
a200024@alunos.uminho.pt;Alexandre Gomes;;J304N3;3
a200025@alunos.uminho.pt;Richard Taylor;EINT;J305N2;5
a200026@alunos.uminho.pt;Sara Cardoso;;J304N3;5
a200027@alunos.uminho.pt;João Ferreira;;J305N2;5
a200028@alunos.uminho.pt;Patrick Wilson;EINT;J305N2;1
a200029@alunos.uminho.pt;Filipe Oliveira;;J304N3;2
a200030@alunos.uminho.pt;Carlos Mendes;;J305N2;5
a200031@alunos.uminho.pt;Tiago Sousa;;J305N2;5
a200032@alunos.uminho.pt;Luis Almeida;;J304N3;2
a200033@alunos.uminho.pt;Chris Evans;EINT;J305N2;4
a200034@alunos.uminho.pt;Bruno Nogueira;;J305N2;3
a200035@alunos.uminho.pt;Maria Antunes;;J304N3;2
a200036@alunos.uminho.pt;João Pinto;;J305N2;5
a200037@alunos.uminho.pt;Marco Lima;;J304N3;3
a200038@alunos.uminho.pt;Leonardo Martins;;J305N2;4
a200039@alunos.uminho.pt;Edward Carter;EINT;J304N3;5
a200040@alunos.uminho.pt;Sophia Rodriguez;EINT;J305N2;2
a200041@alunos.uminho.pt;Victor Ferreira;;J304N3;4
a200042@alunos.uminho.pt;Francisco Araujo;;J305N2;3
a200043@alunos.uminho.pt;Rafael Teixeira;;J304N3;1
a200044@alunos.uminho.pt;Tomás Marques;;J305N2;2
a200045@alunos.uminho.pt;Miguel Silva;;J305N2;1
a200046@alunos.uminho.pt;Matthew Johnson;EINT;J304N3;2
a200047@alunos.uminho.pt;Helena Ramos;;J304N3;1
a200048@alunos.uminho.pt;Jorge Cunha;;J305N2;3
a200049@alunos.uminho.pt;Gabriel Duarte;;J305N2;1
a200050@alunos.uminho.pt;Roberto Matos;;J304N3;2
a200051@alunos.uminho.pt;Diogo Martins;;J305N2;2
a200051@alunos.uminho.pt;Diogo Martins;;J304N3;2
a200051@alunos.uminho.pt;Diogo Martins;;J305N3;2
a200052@alunos.uminho.pt;Carlos Lima;;J304N3;5
a200052@alunos.uminho.pt;Carlos Lima;;J305N2;5
a200052@alunos.uminho.pt;Carlos Lima;;J304N4;5
a200053@alunos.uminho.pt;Pedro Moreira;;J305N2;5
a200053@alunos.uminho.pt;Pedro Moreira;;J304N3;5
a200053@alunos.uminho.pt;Pedro Moreira;;J301N1;5
a200054@alunos.uminho.pt;Nuno Vieira;;J304N3;5
a200054@alunos.uminho.pt;Nuno Vieira;;J305N2;5
a200054@alunos.uminho.pt;Nuno Vieira;;J305N3;5
a200055@alunos.uminho.pt;Miguel Correia;;J305N2;5
a200055@alunos.uminho.pt;Miguel Correia;;J304N3;5
a200055@alunos.uminho.pt;Miguel Correia;;J304N4;5
a200056@alunos.uminho.pt;Ricardo Monteiro;;J304N3;3
a200056@alunos.uminho.pt;Ricardo Monteiro;;J305N2;3
a200056@alunos.uminho.pt;Ricardo Monteiro;;J301N1;3
a200057@alunos.uminho.pt;Diana Costa;;J305N2;2
a200057@alunos.uminho.pt;Diana Costa;;J304N3;2
a200057@alunos.uminho.pt;Diana Costa;;J305N3;2
a200058@alunos.uminho.pt;Jessica Taylor;EINT;J304N3;3
a200058@alunos.uminho.pt;Jessica Taylor;EINT;J305N2;3
a200058@alunos.uminho.pt;Jessica Taylor;EINT;J304N4;3
a200059@alunos.uminho.pt;André Figueiredo;;J305N2;5
a200059@alunos.uminho.pt;André Figueiredo;;J304N3;5
a200059@alunos.uminho.pt;André Figueiredo;;J301N1;5
a200060@alunos.uminho.pt;Fernando Sousa;;J304N3;2
a200060@alunos.uminho.pt;Fernando Sousa;;J305N2;2
a200060@alunos.uminho.pt;Fernando Sousa;;J305N3;2
a200061@alunos.uminho.pt;Patrícia Almeida;;J305N2;4
a200061@alunos.uminho.pt;Patrícia Almeida;;J304N3;4
a200061@alunos.uminho.pt;Patrícia Almeida;;J304N4;4
a200062@alunos.uminho.pt;Joana Torres;;J304N3;1
a200062@alunos.uminho.pt;Joana Torres;;J305N2;1
a200062@alunos.uminho.pt;Joana Torres;;J301N1;1
a200063@alunos.uminho.pt;Ethan Campbell;EINT;J305N2;4
a200063@alunos.uminho.pt;Ethan Campbell;EINT;J304N3;4
a200063@alunos.uminho.pt;Ethan Campbell;EINT;J305N3;4
a200064@alunos.uminho.pt;Leonor Carvalho;;J304N3;4
a200064@alunos.uminho.pt;Leonor Carvalho;;J305N2;4
a200064@alunos.uminho.pt;Leonor Carvalho;;J304N4;4
a200065@alunos.uminho.pt;Paulo Matias;;J305N2;1
a200065@alunos.uminho.pt;Paulo Matias;;J304N3;1
a200065@alunos.uminho.pt;Paulo Matias;;J301N1;1
a200066@alunos.uminho.pt;Rui Oliveira;;J304N3;5
a200066@alunos.uminho.pt;Rui Oliveira;;J305N2;5
a200066@alunos.uminho.pt;Rui Oliveira;;J305N3;5
a200067@alunos.uminho.pt;Lucas Barbosa;;J305N2;5
a200067@alunos.uminho.pt;Lucas Barbosa;;J304N3;5
a200067@alunos.uminho.pt;Lucas Barbosa;;J304N4;5
a200068@alunos.uminho.pt;Hugo Monteiro;;J304N3;2
a200068@alunos.uminho.pt;Hugo Monteiro;;J305N2;2
a200068@alunos.uminho.pt;Hugo Monteiro;;J301N1;2
a200069@alunos.uminho.pt;Gabriel Santos;;J305N2;1
a200069@alunos.uminho.pt;Gabriel Santos;;J304N3;1
a200069@alunos.uminho.pt;Gabriel Santos;;J305N3;1
a200070@alunos.uminho.pt;Tomás Xavier;;J304N3;4
a200070@alunos.uminho.pt;Tomás Xavier;;J305N2;4
a200070@alunos.uminho.pt;Tomás Xavier;;J304N4;4
a200071@alunos.uminho.pt;Diego Martinez;EINT;J305N2;4
a200071@alunos.uminho.pt;Diego Martinez;EINT;J304N3;4
a200071@alunos.uminho.pt;Diego Martinez;EINT;J301N1;4
a200072@alunos.uminho.pt;Alex Silva;;J304N3;3
a200072@alunos.uminho.pt;Alex Silva;;J305N2;3
a200072@alunos.uminho.pt;Alex Silva;;J305N3;3
a200073@alunos.uminho.pt;Clara Fonseca;;J305N2;3
a200073@alunos.uminho.pt;Clara Fonseca;;J304N3;3
a200073@alunos.uminho.pt;Clara Fonseca;;J304N4;3
a200074@alunos.uminho.pt;Mateus Braga;;J304N3;2
a200074@alunos.uminho.pt;Mateus Braga;;J305N2;2
a200074@alunos.uminho.pt;Mateus Braga;;J301N1;2
a200075@alunos.uminho.pt;Bruno Ferreira;;J305N2;5
a200075@alunos.uminho.pt;Bruno Ferreira;;J304N3;5
a200075@alunos.uminho.pt;Bruno Ferreira;;J305N3;5
a200076@alunos.uminho.pt;Nathan Collins;EINT;J304N3;1
a200076@alunos.uminho.pt;Nathan Collins;EINT;J305N2;1
a200076@alunos.uminho.pt;Nathan Collins;EINT;J304N4;1
a200077@alunos.uminho.pt;Vanessa Simões;;J305N2;4
a200077@alunos.uminho.pt;Vanessa Simões;;J304N3;4
a200077@alunos.uminho.pt;Vanessa Simões;;J301N1;4
a200078@alunos.uminho.pt;Beatriz Figueiredo;;J304N3;1
a200078@alunos.uminho.pt;Beatriz Figueiredo;;J305N2;1
a200078@alunos.uminho.pt;Beatriz Figueiredo;;J305N3;1
a200079@alunos.uminho.pt;João Andrade;;J305N2;4
a200079@alunos.uminho.pt;João Andrade;;J304N3;4
a200079@alunos.uminho.pt;João Andrade;;J304N4;4
a200080@alunos.uminho.pt;Eduardo Lopes;;J304N3;4
a200080@alunos.uminho.pt;Eduardo Lopes;;J305N2;4
a200080@alunos.uminho.pt;Eduardo Lopes;;J301N1;4
a200081@alunos.uminho.pt;Gabriel Alves;;J301N1;3
a200082@alunos.uminho.pt;João Pires;;J302N1;3
a200083@alunos.uminho.pt;Sara Ribeiro;;J304N4;2
a200084@alunos.uminho.pt;Henrique Castro;;J305N3;4
a200085@alunos.uminho.pt;Beatriz Nogueira;;J301N1;4
a200086@alunos.uminho.pt;Lucas Teixeira;;J302N1;3
a200087@alunos.uminho.pt;Isabela Santos;;J304N4;5
a200088@alunos.uminho.pt;André Neves;;J305N3;4
a200089@alunos.uminho.pt;Tiago Matos;;J301N1;2
a200090@alunos.uminho.pt;Pedro Carvalho;;J302N1;5
a200091@alunos.uminho.pt;Rafael Lopes;;J304N4;1
a200092@alunos.uminho.pt;Cláudia Ferreira;;J305N3;5
a200093@alunos.uminho.pt;Mariana Oliveira;;J301N1;1
a200094@alunos.uminho.pt;Eduardo Correia;;J302N1;3
a200095@alunos.uminho.pt;Leonor Marques;;J304N4;1
a200096@alunos.uminho.pt;Ricardo Silva;;J305N3;3
a200097@alunos.uminho.pt;Vanessa Araújo;;J301N1;4
a200098@alunos.uminho.pt;Lara Barros;;J302N1;3
a200099@alunos.uminho.pt;Aline Costa;;J304N4;5
a200100@alunos.uminho.pt;Filipe Pereira;;J305N3;2
